question,answer,pattern,tag
what if i feel lonely,"A lot of people are alone right now, but we don't have to be lonely. We're all in this together. Think about the different ways to connect that are most meaningful for you. For example, you might prefer a video chat over a phone call, or you might prefer to text throughout the day rather than one set time for a video call. Then, work with your social networks to make a plan. You might video chat with your close friends in the evening and phone a family member once a week. Remember to be mindful of people who may not be online. Check in by phone and ask how you can help. The quality of your social connections matter. Mindlessly scrolling through social media and liking a few posts usually doesn't build strong social connections. Make sure you focus on strategies that actually make you feel included and connected. If your current strategies don't help you feel connected, problem-solve to see if you can find a solution. Everyone feels lonely at times. Maybe you recently moved to a new city, are changing your circle of friends, lost someone important in your life, or lost your job and also lost important social connections with coworkers. Other people may have physical connections to others but may feel like their emotional or social needs aren't met. Measures like social distancing or self-isolation can make loneliness feel worse no matter why you feel lonely now. Reach out to the connections you do have. Suggest ways to keep in touch and see if you can set a regular time to connect. People may hesitate to reach out for a lot of different reasons, so don't be afraid to be the one who asks. Look for local community support groups and mutual aid groups on social media. This pandemic is bringing everyone together, so look for opportunities to make new connections. These groups are a great way to share your skills and abilities or seek help and support. Look for specialized support groups. Support groups are moving online, and there are a lot of different support lines to call if you need to talk to someone.",what if i feel lonely,fact-30
i'm so angry,Would writing a draft message (that you don’t send) help release some of this?,i'm so angry,anger
everyone is better than me,Let’s gently check the evidence for and against that thought. What facts support the kinder view?,everyone is better than me,worthless
i keep crying for no reason,Would talking through today help a little? I'm here to listen.,i keep crying for no reason,sad
nothing much,Oh I see. Do you want to talk about something?,nothing much,neutral-response
i can't get anything done,Motivation often follows action. What’s a 2-minute task you can try right now?,i can't get anything done,motivation
I need help with drained at night. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with drained at night. What can I do?,fact-22
i want healthier habits,"A simple routine: movement, meals, mindful minute, and meaningful connection with someone you trust.",i want healthier habits,self-care
bye then,See you later.,bye then,goodbye
how do i relax,"A simple routine: movement, meals, mindful minute, and meaningful connection with someone you trust.",how do i relax,self-care
i don't have any friends,I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?,i don't have any friends,friends
i don't want to be here anymore,"If you can, please consider contacting your local crisis hotline or emergency services. You matter and help is available.",i don't want to be here anymore,suicide
does this feeling last forever,Recovery is possible and rarely linear. You’re already taking a brave step by talking about it.,does this feeling last forever,hope
what can you do for me,Sure. Tell me how can i assist you,what can you do for me,help
nobody understands me.,It sound like i'm not being very helpful right now.,nobody understands me.,understand
define mental health,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community",define mental health,fact-1
ok,Let's discuss further why you're feeling this way.,ok,casual
i don't even know where to start,"What can be postponed, delegated, or dropped entirely?",i don't even know where to start,overwhelm
Lately I feel guilty when I think about the future. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel guilty when I think about the future. What can I do?,not-talking
i don't enjoy things anymore,Would talking through today help a little? I'm here to listen.,i don't enjoy things anymore,sad
i'll continue practicing meditation and focus on what i can control,I'm glad you found this useful. Is there something else I can help you with?,i'll continue practicing meditation and focus on what i can control,pandora-useful
probably because my exams are approaching,I see. Have you taken any approaches to not feel this way?,probably because my exams are approaching,problem
I could use support for overwhelmed. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I could use support for overwhelmed. What can I do?,motivation
where can i go to find a support group,"Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.",where can i go to find a support group,fact-24
support me please,Sure. Tell me how can i assist you,support me please,help
i'm drowning in responsibilities,"What can be postponed, delegated, or dropped entirely?",i'm drowning in responsibilities,overwhelm
my thoughts are racing,Place your feet on the floor and notice the pressure. What textures can you feel right now?,my thoughts are racing,grounding
